Zona_Num_N;y_coord;x_coord
242;4.667790838;-74.05397099
243;4.665436263;-74.04946953
244;4.660486116;-74.0475029
245;4.662478424;-74.05240665
246;4.66408677;-74.05575624
247;4.660502654;-74.05940457
248;4.654399766;-74.04990792
249;4.64564592;-74.04786551
250;4.647241429;-74.0510481
251;4.645749448;-74.05564263
252;4.649769657;-74.05517778
253;4.652730562;-74.05500692
254;4.655964242;-74.06125695
255;4.650559201;-74.06160467
256;4.67042688;-74.05241012
257;4.673326464;-74.05088698
258;4.677170227;-74.04891486
259;4.681171221;-74.04478921
260;4.67828216;-74.04256136
261;4.67494215;-74.04438456
262;4.671022139;-74.04662647
263;4.66797569;-74.04819724
264;4.667648431;-74.04371539
265;4.673062416;-74.03973086
266;4.639994299;-74.05450584
267;4.638912937;-74.05728297
268;4.624742697;-74.06030886
269;4.631164537;-74.05977421
270;4.628136208;-74.05787117
271;4.627873559;-74.06361439
272;4.634986665;-74.06189859
273;4.641200282;-74.06066546
274;4.644506054;-74.05889538
275;4.644568092;-74.06346099
276;4.635838215;-74.06524738
277;4.629512375;-74.06637562
278;4.631618729;-74.07062814
279;4.634897386;-74.07188181
280;4.638505942;-74.06816791
281;4.64554794;-74.06679999
282;4.646901338;-74.07129999
283;4.649886237;-74.07462882
284;4.634748687;-74.05786293
285;4.642343501;-74.07034867
286;4.642464555;-74.07489218
287;4.638714324;-74.07348786
288;4.638117525;-74.07794153
289;4.6378261;-74.08457252
290;4.647595438;-74.08238397
291;4.649185235;-74.07958762
292;4.651444294;-74.08773289
293;4.643268874;-74.0872976
294;4.643470109;-74.09416643
295;4.647127094;-74.0907974
296;4.655856889;-74.08859132
297;4.658541766;-74.09398009
298;4.652277871;-74.09875616
299;4.662872481;-74.10178975
300;4.668389911;-74.10647356
301;4.672910529;-74.10908921
302;4.680729282;-74.11755773
303;4.679054902;-74.11318465
304;4.698402692;-74.14139826
305;4.686292375;-74.13297566
306;4.678073767;-74.12406215
307;4.677478024;-74.13118542
308;4.70123808;-74.16560873
309;4.694039445;-74.15437416
310;4.691172918;-74.16093786
311;4.681720042;-74.15002756
312;4.685802994;-74.14524776
313;4.675485083;-74.14420706
314;4.680456398;-74.13903348
315;4.669751615;-74.13954404
316;4.675556876;-74.13498609
317;4.664755787;-74.13484153
318;4.666373801;-74.12523672
319;4.671253535;-74.11961671
320;4.666079467;-74.11553662
321;4.660963284;-74.12080197
322;4.657681027;-74.10969671
323;4.660200379;-74.13083702
324;4.647998159;-74.11996589
325;4.642121046;-74.11692275
326;4.638536019;-74.11142108
327;4.645470926;-74.10068631
328;4.633265516;-74.10651715
329;4.630574555;-74.10211457
330;4.633696593;-74.09674787
331;4.637098864;-74.09471352
332;4.628001537;-74.09758308
333;4.633435098;-74.09271093
334;4.630192985;-74.09053924
335;4.631278645;-74.08710968
336;4.630584864;-74.08145245
337;4.62695913;-74.0840061
338;4.625161566;-74.08101631
339;4.627424641;-74.0788201
340;4.629633255;-74.07662456
341;4.627883496;-74.0707617
342;4.624599417;-74.06763444
343;4.621693974;-74.06195778
344;4.62293145;-74.07231945
345;4.618939928;-74.06952847
346;4.620850135;-74.06601594
347;4.614854518;-74.06083608
348;4.617364458;-74.06412525
349;4.614196878;-74.06493779
350;4.608460389;-74.06465559
351;4.616851958;-74.06750398
352;4.612400365;-74.06876682
353;4.604540506;-74.0659593
354;4.606838527;-74.06888721
355;4.610769472;-74.07346712
356;4.618531378;-74.07282574
357;4.617603964;-74.07630772
358;4.622214415;-74.07934442
359;4.615448156;-74.07893407
360;4.620470136;-74.0827069
361;4.608940734;-74.07814047
362;4.61028374;-74.08310511
363;4.61503486;-74.08695289
364;4.618561924;-74.09198806
365;4.623582957;-74.08696773
366;4.622265205;-74.09042218
367;4.623202459;-74.0959009
368;4.624200213;-74.10114763
369;4.622311202;-74.10412929
370;4.616602447;-74.10198157
371;4.612493778;-74.09760207
372;4.610691707;-74.10686311
373;4.614660324;-74.10898103
374;4.620054315;-74.10946031
375;4.62574965;-74.11132116
376;4.621275121;-74.11259074
377;4.61811625;-74.11505919
378;4.621561317;-74.11596556
379;4.622899882;-74.11803683
380;4.62550979;-74.11807215
381;4.625978434;-74.12124081
382;4.61774636;-74.12164018
383;4.627080709;-74.12471816
384;4.631390682;-74.11605638
385;4.634490444;-74.12264251
386;4.633583948;-74.12927133
387;4.637839093;-74.13282833
388;4.645742868;-74.12808271
389;4.637416854;-74.13947084
390;4.640547985;-74.14315254
391;4.647871092;-74.13498108
392;4.652584662;-74.13189638
393;4.659749487;-74.14528852
394;4.643348316;-74.14773984
395;4.621969837;-74.07661024
396;4.648413733;-74.15564379
397;4.666963144;-74.14409757
398;4.665438078;-74.15229427
399;4.672624096;-74.14834513
400;4.670220749;-74.15036645
401;4.669419508;-74.16192842
402;4.673505818;-74.1569311
403;4.67703445;-74.15208454
404;4.676401938;-74.16424876
405;4.679972897;-74.16211896
406;4.681121403;-74.1711553
407;4.688514416;-74.16654378
408;4.635110984;-74.14959469
409;4.633140101;-74.15343806
410;4.636142658;-74.15787999
411;4.638863244;-74.16145508
412;4.641845687;-74.1624953
413;4.648668525;-74.16891821
414;4.646059701;-74.17360138
415;4.635935205;-74.16702515
416;4.630817641;-74.15915969
417;4.627982835;-74.15348059
418;4.626798686;-74.14746629
419;4.629282837;-74.1435046
420;4.623753781;-74.14141667
421;4.627542399;-74.1321068
422;4.621713823;-74.12891191
423;4.614617174;-74.13148983
424;4.613361394;-74.12581925
425;4.607912499;-74.12382774
426;4.611831564;-74.11870498
427;4.610122548;-74.1149173
428;4.607347255;-74.11133643
429;4.601154572;-74.10854936
430;4.605086122;-74.10769828
431;4.602738353;-74.10459768
432;4.607041152;-74.10236339
433;4.608385071;-74.09285421
434;4.602906983;-74.0967969
435;4.599909861;-74.099472
436;4.597290771;-74.10253365
437;4.592920077;-74.09963984
438;4.596526622;-74.09569318
439;4.599895976;-74.09237744
440;4.604674243;-74.08969991
441;4.607719759;-74.08709903
442;4.606105685;-74.08070235
443;4.603185669;-74.08374585
444;4.60052492;-74.08737404
445;4.598059382;-74.08881326
446;4.594903414;-74.09022838
447;4.589830554;-74.09482002
448;4.583219611;-74.09308257
449;4.58495863;-74.09124825
450;4.587424723;-74.08929547
451;4.589511658;-74.08769895
452;4.593044806;-74.0849319
453;4.59870982;-74.08103326
454;4.604605381;-74.07708099
455;4.6038496;-74.07390426
456;4.602409004;-74.07079417
457;4.600394314;-74.07572351
458;4.598812925;-74.07228288
459;4.595759339;-74.07669558
460;4.592266635;-74.07766391
461;4.590280719;-74.07777311
462;4.587837954;-74.0803514
463;4.586029241;-74.08548404
464;4.584504443;-74.08372746
465;4.583112699;-74.08155589
466;4.581484007;-74.08766864
467;4.578809751;-74.08818226
468;4.576816014;-74.08515602
469;4.579785062;-74.0838822
470;4.578579624;-74.08075695
471;4.579714396;-74.07916298
472;4.585032502;-74.07644208
473;4.587755718;-74.07288099
474;4.591214717;-74.07266571
475;4.594123858;-74.07074027
476;4.597058851;-74.06907707
477;4.600976513;-74.0656551
478;4.600579504;-74.06189674
479;4.596964432;-74.06386072
480;4.595567638;-74.06651877
481;4.590208735;-74.06598309
482;4.588841405;-74.07010146
483;4.587314641;-74.06725289
484;4.585174776;-74.06588879
485;4.585409765;-74.06840828
486;4.583672024;-74.07122566
487;4.581018628;-74.06897357
488;4.582906728;-74.07508014
489;4.581924754;-74.07370748
490;4.57885445;-74.07291024
491;4.579578571;-74.07663528
492;4.575381369;-74.07664464
493;4.573170934;-74.07167622
494;4.576025704;-74.08148625
495;4.573761048;-74.08476063
496;4.571980915;-74.08740916
497;4.572520564;-74.08988956
498;4.575443524;-74.08797928
499;4.576574672;-74.09127131
500;4.58047269;-74.09615914
501;4.585064021;-74.10054689
502;4.589331119;-74.10424983
503;4.594564004;-74.10730768
504;4.592334939;-74.10962382
505;4.596489587;-74.11074742
506;4.602171438;-74.11394228
507;4.601327211;-74.11727283
508;4.597211223;-74.11631805
509;4.597437323;-74.12124763
510;4.600527015;-74.1241284
511;4.595759227;-74.12750737
512;4.595957167;-74.13206553
513;4.599199481;-74.13361357
514;4.599326607;-74.12937291
515;4.602897019;-74.12645724
516;4.605863524;-74.12914613
517;4.602460802;-74.13687277
518;4.594327068;-74.11481248
519;4.610212078;-74.13735135
520;4.61391178;-74.14444611
521;4.616475245;-74.14952852
522;4.620522565;-74.14802806
523;4.621791759;-74.1528001
524;4.615243294;-74.15476062
525;4.619002265;-74.15916493
526;4.62214615;-74.16121884
527;4.625830596;-74.16490469
528;4.633338431;-74.17077779
529;4.64417172;-74.17663583
530;4.631630392;-74.17572659
531;4.62259403;-74.17310661
532;4.618244952;-74.1714582
533;4.616659899;-74.16930341
534;4.615411515;-74.16614017
535;4.607991129;-74.16672514
536;4.61110691;-74.15806851
537;4.609333911;-74.15282462
538;4.607083068;-74.14491338
539;4.59781034;-74.14252729
540;4.598549424;-74.14777753
541;4.597242051;-74.15445133
542;4.600965407;-74.15890211
543;4.60012174;-74.16531387
544;4.600247413;-74.18277346
545;4.605402437;-74.17580202
546;4.611004797;-74.17062952
547;4.610491639;-74.17568018
548;4.615574387;-74.17995223
549;4.619029568;-74.17828711
550;4.622808855;-74.18560914
551;4.627877827;-74.18164904
552;4.628575049;-74.18983651
553;4.640579168;-74.18847333
554;4.636927068;-74.19438508
555;4.648573016;-74.19495038
556;4.635815557;-74.19753289
557;4.633794692;-74.20171257
558;4.633524142;-74.21045688
559;4.623828995;-74.21805778
560;4.624526771;-74.19815639
561;4.61859735;-74.20907111
562;4.611030605;-74.19664126
563;4.619628278;-74.19318883
564;4.615804656;-74.18825675
565;4.61016106;-74.18231002
566;4.611812377;-74.19115019
567;4.606834661;-74.18849122
568;4.602958982;-74.18778925
569;4.603448031;-74.20035377
570;4.609918051;-74.20943674
571;4.593771121;-74.17470549
572;4.59222031;-74.15779202
573;4.591631111;-74.15122633
574;4.591546137;-74.14357998
575;4.592082161;-74.13877915
576;4.586978641;-74.13819961
577;4.589609228;-74.13204906
578;4.589307983;-74.12666401
579;4.5925767;-74.12720297
580;4.591956017;-74.12054871
581;4.589932355;-74.11670391
582;4.590750514;-74.11272503
583;4.586361621;-74.12065206
584;4.585204769;-74.11796273
585;4.586272368;-74.11315667
586;4.586943769;-74.11041687
587;4.585605575;-74.10814087
588;4.581914355;-74.1068387
589;4.58088933;-74.11071777
590;4.577718241;-74.10194169
591;4.57617779;-74.10634409
592;4.573250635;-74.09929537
593;4.570468563;-74.09625167
594;4.567357;-74.09467676
595;4.569351154;-74.08999174
596;4.566569165;-74.08942131
597;4.565000506;-74.09126898
598;4.558855785;-74.08683965
599;4.562549445;-74.0846246
600;4.564257968;-74.08219413
601;4.567500455;-74.08061182
602;4.569413827;-74.07690269
603;4.569133005;-74.07121352
604;4.564146287;-74.06803854
605;4.562583736;-74.07649435
606;4.561234477;-74.09278283
607;4.559492428;-74.09698233
608;4.562283649;-74.0990122
